DU2076 Bonus Cap Certificate — N=200-Step Binomial Tree
Date      : 2025-09-04
S0        : 1707.93 EUR
K (cap)   : 2000.00 EUR
B (barrier): 1050.00 EUR
sigma     : 0.3898  (38.98% p.a.)
r         : 0.0334  (3.34% p.a.)
T         : 1.7851 years
dt        : 0.008925 years
u         : 1.037515
d         : 0.963842
q (risk-neutral prob): 0.494186
Total nodes: 20,301
======================================================================
  Step  UpMoves      S(n,j) EUR   V_cert(n,j) EUR  Status
    21        6       1226.0886         1210.1633  alive
    21        7       1319.8064         1301.0716  alive
    21        8       1420.6877         1388.1124  alive
    21        9       1529.2800         1469.5566  alive
    21       10       1646.1727         1544.0328  alive
    21       11       1772.0002         1610.5906  alive
    21       12       1907.4456         1668.7225  alive
    21       13       2053.2439         1718.3437  alive
    21       14       2210.1865         1759.7402  alive
    21       15       2379.1253         1793.4927  alive
    21       16       2560.9771         1820.3886  alive
    21       17       2756.7290         1841.3348  alive
    21       18       2967.4435         1857.2768  alive
    21       19       3194.2643         1869.1343  alive
    21       20       3438.4224         1877.7526  alive
    21       21       3701.2431         1883.8736  alive
    22        0        759.6217          746.5323  KNOCKED OUT
    22        1        817.6845          800.6734  KNOCKED OUT
    22        2        880.1853          857.7141  KNOCKED OUT
    22        3        947.4636          917.4690  KNOCKED OUT
    22        4       1019.8843          979.6532  KNOCKED OUT
    22        5       1097.8406         1071.6242  alive
    22        6       1181.7556         1164.8678  alive
    22        7       1272.0848         1257.2546  alive
    22        8       1369.3184         1346.7045  alive
    22        9       1473.9842         1431.3320  alive
    22       10       1586.6502         1509.5672  alive
    22       11       1707.9281         1580.2408  alive
    22       12       1838.4760         1642.6262  alive
    22       13       1979.0025         1696.4394  alive
    22       14       2130.2704         1741.8000  alive
    22       15       2293.1007         1779.1642  alive
    22       16       2468.3771         1809.2402  alive
    22       17       2657.0510         1832.8976  alive
    22       18       2860.1465         1851.0814  alive
    22       19       3078.7658         1864.7385  alive
    22       20       3314.0957         1874.7610  alive
    22       21       3567.4133         1881.9474  alive
    22       22       3840.0936         1886.9816  alive
    23        0        732.1552          720.7163  KNOCKED OUT
    23        1        788.1186          773.4061  KNOCKED OUT
    23        2        848.3595          829.0652  KNOCKED OUT
    23        3        913.2051          887.5545  KNOCKED OUT
    23        4        983.0072          948.6407  KNOCKED OUT
    23        5       1058.1448         1025.8995  alive
    23        6       1139.0256         1119.0711  alive
    23        7       1226.0886         1212.4448  alive
    23        8       1319.8064         1303.8772  alive
    23        9       1420.6877         1391.3518  alive
    23       10       1529.2800         1473.1162  alive
    23       11       1646.1727         1547.7865  alive
    23       12       1772.0002         1614.4120  alive
    23       13       1907.4456         1672.4952  alive
    23       14       2053.2439         1721.9703  alive
    23       15       2210.1865         1763.1470  alive
    23       16       2379.1253         1796.6316  alive
    23       17       2560.9771         1823.2370  alive
    23       18       2756.7290         1843.8913  alive
    23       19       2967.4435         1859.5574  alive
    23       20       3194.2643         1871.1666  alive
    23       21       3438.4224         1879.5711  alive
    23       22       3701.2431         1885.5150  alive
    23       23       3984.1529         1889.6212  alive
    24        0        705.6819          695.6218  KNOCKED OUT
    24        1        759.6217          746.8361  KNOCKED OUT
    24        2        817.6845          801.0678  KNOCKED OUT
